,BLOCK_TIME_UNIQUE_ID,label
0,2009-03-09-13.32.22.415936__2009-03-09-13,['Abnormal']
1,2009-03-09-13.32.23.523096__2009-03-09-13,['Abnormal']
2,2009-03-09-13.32.42.728781__2009-03-09-13,['Normal']
3,2009-03-09-13.32.43.778244__2009-03-09-13,['Normal']
4,2009-03-16-14.52.50.494520__2009-03-16-14,['Abnormal']
5,2009-03-16-14.53.05.751709__2009-03-16-14,['Normal']
6,2009-04-27-12.01.48.967470__2009-04-27-12,['Abnormal']
7,2009-04-27-12.04.09.416661__2009-04-27-12,['Normal']
8,2009-05-11-14.14.06.688959__2009-05-11-14,['Abnormal']
9,2009-05-11-14.14.07.728002__2009-05-11-14,['Abnormal']
10,2009-05-11-14.14.26.938447__2009-05-11-14,['Normal']
11,2009-05-11-14.14.27.968093__2009-05-11-14,['Normal']
12,2009-05-11-14.17.35.851082__2009-05-11-14,['Abnormal']
13,2009-05-11-14.17.35.862729__2009-05-11-14,['Abnormal']
14,2009-05-11-14.17.55.047814__2009-05-11-14,['Normal']
15,2009-05-11-14.17.55.070295__2009-05-11-14,['Normal']
16,2009-05-11-14.20.43.749851__2009-05-11-14,['Abnormal']
17,2009-05-11-14.20.43.761215__2009-05-11-14,['Abnormal']
18,2009-05-11-14.21.03.959773__2009-05-11-14,['Normal']
19,2009-05-11-14.21.03.982099__2009-05-11-14,['Normal']
20,2009-05-11-14.24.10.821766__2009-05-11-14,['Abnormal']
21,2009-05-11-14.24.10.846893__2009-05-11-14,['Abnormal']
22,2009-05-11-14.24.30.031941__2009-05-11-14,['Normal']
23,2009-05-11-14.24.30.057005__2009-05-11-14,['Normal']
24,2009-05-11-14.27.37.904385__2009-05-11-14,['Abnormal']
25,2009-05-11-14.27.37.917207__2009-05-11-14,['Abnormal']
26,2009-05-11-14.27.57.104354__2009-05-11-14,['Normal']
27,2009-05-11-14.27.57.120397__2009-05-11-14,['Normal']
28,2009-05-11-14.30.46.796295__2009-05-11-14,['Abnormal']
29,2009-05-11-14.30.46.815662__2009-05-11-14,['Abnormal']
30,2009-05-11-14.31.06.006168__2009-05-11-14,['Normal']
31,2009-05-11-14.31.06.025958__2009-05-11-14,['Normal']
32,2009-05-11-14.33.31.447634__2009-05-11-14,['Abnormal']
33,2009-05-11-14.33.31.463978__2009-05-11-14,['Abnormal']
34,2009-05-11-14.33.51.668040__2009-05-11-14,['Normal']
35,2009-05-11-14.33.51.699623__2009-05-11-14,['Normal']
36,2009-05-11-14.36.36.319921__2009-05-11-14,['Abnormal']
37,2009-05-11-14.36.37.389514__2009-05-11-14,['Abnormal']
38,2009-05-11-14.36.56.589851__2009-05-11-14,['Normal']
39,2009-05-11-14.36.57.610255__2009-05-11-14,['Normal']
40,2009-05-11-14.39.29.112048__2009-05-11-14,['Abnormal']
41,2009-05-11-14.39.30.141498__2009-05-11-14,['Abnormal']
42,2009-05-11-14.39.49.341958__2009-05-11-14,['Normal']
43,2009-05-11-14.39.50.362217__2009-05-11-14,['Normal']
44,2009-05-11-14.42.46.113768__2009-05-11-14,['Abnormal']
45,2009-05-11-14.42.46.130345__2009-05-11-14,['Abnormal']
46,2009-05-11-14.43.06.334045__2009-05-11-14,['Normal']
47,2009-05-11-14.43.06.371551__2009-05-11-14,['Normal']
48,2009-05-11-14.44.12.018637__2009-05-11-14,['Normal']
49,2009-05-11-14.44.22.564486__2009-05-11-14,['Normal']
50,2009-05-11-14.44.27.650046__2009-05-11-14,['Normal']
51,2009-05-11-14.44.27.671895__2009-05-11-14,['Normal']
52,2009-05-11-14.44.27.679216__2009-05-11-14,['Normal']
53,2009-05-11-14.44.27.689043__2009-05-11-14,['Normal']
54,2009-05-11-14.44.27.742820__2009-05-11-14,['Normal']
55,2009-05-11-14.44.27.764007__2009-05-11-14,['Normal']
56,2009-05-11-14.47.06.339559__2009-05-11-14,['Abnormal']
57,2009-05-11-14.47.06.360324__2009-05-11-14,['Abnormal']
58,2009-05-11-14.47.26.559519__2009-05-11-14,['Normal']
59,2009-05-11-14.47.26.580811__2009-05-11-14,['Normal']
60,2009-05-11-14.48.09.021312__2009-05-11-14,['Normal']
61,2009-05-11-15.04.26.699481__2009-05-11-15,['Normal']
62,2009-05-11-15.04.31.759840__2009-05-11-15,['Normal']
63,2009-05-11-15.04.31.793572__2009-05-11-15,['Normal']
64,2009-05-11-15.04.31.805483__2009-05-11-15,['Normal']
65,2009-05-11-15.04.31.811511__2009-05-11-15,['Normal']
66,2009-05-11-15.04.31.831430__2009-05-11-15,['Normal']
67,2009-05-11-15.04.31.847386__2009-05-11-15,['Normal']
68,2009-05-11-15.06.53.241859__2009-05-11-15,['Abnormal']
69,2009-05-11-15.06.53.259624__2009-05-11-15,['Abnormal']
70,2009-05-11-15.07.13.462144__2009-05-11-15,['Normal']
71,2009-05-11-15.07.13.488681__2009-05-11-15,['Normal']
72,2009-05-11-15.09.57.113711__2009-05-11-15,['Abnormal']
73,2009-05-11-15.09.57.125415__2009-05-11-15,['Abnormal']
74,2009-05-11-15.10.17.333781__2009-05-11-15,['Normal']
75,2009-05-11-15.10.17.352098__2009-05-11-15,['Normal']
76,2009-05-11-15.13.24.196182__2009-05-11-15,['Normal']
77,2009-05-11-15.37.28.888001__2009-05-11-15,['Normal']
78,2009-05-11-15.37.33.945502__2009-05-11-15,['Normal']
79,2009-05-11-15.37.33.968597__2009-05-11-15,['Normal']
80,2009-05-11-15.37.33.977664__2009-05-11-15,['Normal']
81,2009-05-11-15.37.33.989744__2009-05-11-15,['Normal']
82,2009-05-11-15.37.34.008143__2009-05-11-15,['Normal']
83,2009-05-11-15.37.34.028082__2009-05-11-15,['Normal']
84,2009-05-11-15.40.06.546498__2009-05-11-15,['Abnormal']
85,2009-05-11-15.40.06.575704__2009-05-11-15,['Abnormal']
86,2009-05-11-15.40.26.776266__2009-05-11-15,['Normal']
87,2009-05-11-15.40.26.789184__2009-05-11-15,['Normal']
88,2009-05-11-15.42.37.078904__2009-05-11-15,['Normal']
89,2009-05-11-15.45.37.573845__2009-05-11-15,['Normal']
90,2009-05-11-15.45.42.644056__2009-05-11-15,['Normal']
91,2009-05-11-15.45.42.661603__2009-05-11-15,['Normal']
92,2009-05-11-15.45.42.668918__2009-05-11-15,['Normal']
