,BLOCK_TIME_UNIQUE_ID,label
0,2009-03-09-13.32.22.415936__2009-03-09-13,['ERROR__MMCS_OPERATIONS']
1,2009-03-09-13.32.23.523096__2009-03-09-13,['ERROR__MMCS_OPERATIONS']
2,2009-03-09-13.32.42.728781__2009-03-09-13,['Normal']
3,2009-03-09-13.32.43.778244__2009-03-09-13,['Normal']
4,2009-03-16-14.52.50.494520__2009-03-16-14,['ERROR__MMCS_OPERATIONS']
5,2009-03-16-14.53.05.751709__2009-03-16-14,['Normal']
6,2009-04-27-12.01.48.967470__2009-04-27-12,['ERROR__MMCS_OPERATIONS']
7,2009-04-27-12.04.09.416661__2009-04-27-12,['Normal']
8,2009-05-11-14.14.06.688959__2009-05-11-14,['ERROR__MMCS_OPERATIONS']
9,2009-05-11-14.14.07.728002__2009-05-11-14,['ERROR__MMCS_OPERATIONS']
10,2009-05-11-14.14.26.938447__2009-05-11-14,['Normal']
11,2009-05-11-14.14.27.968093__2009-05-11-14,['Normal']
12,2009-05-11-14.17.35.851082__2009-05-11-14,['ERROR__MMCS_OPERATIONS']
13,2009-05-11-14.17.35.862729__2009-05-11-14,['ERROR__MMCS_OPERATIONS']
14,2009-05-11-14.17.55.047814__2009-05-11-14,['Normal']
15,2009-05-11-14.17.55.070295__2009-05-11-14,['Normal']
16,2009-05-11-14.20.43.749851__2009-05-11-14,['ERROR__MMCS_OPERATIONS']
17,2009-05-11-14.20.43.761215__2009-05-11-14,['ERROR__MMCS_OPERATIONS']
18,2009-05-11-14.21.03.959773__2009-05-11-14,['Normal']
19,2009-05-11-14.21.03.982099__2009-05-11-14,['Normal']
20,2009-05-11-14.24.10.821766__2009-05-11-14,['ERROR__MMCS_OPERATIONS']
21,2009-05-11-14.24.10.846893__2009-05-11-14,['ERROR__MMCS_OPERATIONS']
22,2009-05-11-14.24.30.031941__2009-05-11-14,['Normal']
23,2009-05-11-14.24.30.057005__2009-05-11-14,['Normal']
24,2009-05-11-14.27.37.904385__2009-05-11-14,['ERROR__MMCS_OPERATIONS']
25,2009-05-11-14.27.37.917207__2009-05-11-14,['ERROR__MMCS_OPERATIONS']
26,2009-05-11-14.27.57.104354__2009-05-11-14,['Normal']
27,2009-05-11-14.27.57.120397__2009-05-11-14,['Normal']
28,2009-05-11-14.30.46.796295__2009-05-11-14,['ERROR__MMCS_OPERATIONS']
29,2009-05-11-14.30.46.815662__2009-05-11-14,['ERROR__MMCS_OPERATIONS']
30,2009-05-11-14.31.06.006168__2009-05-11-14,['Normal']
