EventId,EventTemplate,Occurrences
91d905c3,MESSAGE,1
ebfea9a2,ECC-correctable chipkill error: DDR Controller  failing SDRAM address  chipkill location  either X8 compute DRAM chip  or ,551
1055839f,DDR controller  chipselect 0  symbol error count ,9433
30865aa0,ECC-correctable single symbol error: DDR Controller  failing SDRAM address  BPC pin  transfer  bit  BPC module pin  compute trace  DRAM chip  DRAM pin ,5178
c3c0975c,L3 Correctable error L3  group=0x00000007      ,4787
d49bf2f6,ECC-correctable double symbol error: DDR Controller  failing SDRAM address  (1) BPC pin  transfer  bit  BPC module pin  compute trace  DRAM chip  DRAM pin  BPC pin  transfer  bit  BPC module pin  compute trace  DRAM chip  DRAM pin ,883
f00d14ae,ECC-correctable double symbol error: DDR Controller  failing SDRAM address  (1) BPC pin  transfer  bit  BPC module pin  compute trace  DRAM chip  DRAM pin  symbol  mask ,96
a15ab642,DDR controller  chipselect 0 chipkill error count ,1805
26e2c248,DDR Redundant Bit Steering activated on bit  chipselect 0x00000000; controller ,988
5d1c61ff,Software detected a burst of similar RAS events and compressed them. There were  similar events detected for message  ,5828
db707c0a,A DMA unit reception FIFO is full. This is a recoverable error; but performance might be improved by increasing the FIFO size (via environment variable DCMF_RECFIFO=size-in-bytes) or be checking the DMA FIFOs more often. Additional details: 1) torus location is  2) Packet PID is  3) rFIFO bit mask is ,12420
4a288344,Error 32 writing message 2 to the data stream.,2
9965a5d6,ECC-correctable double symbol error: DDR Controller  failing SDRAM address  (1) symbol  mask 0x0; (2) BPC pin  transfer  bit  BPC module pin  compute trace  DRAM chip  DRAM pin ,79
d1fcf1e8,Error  reading message  from  stream.,23
8434651c,L1  cache parity error has occurred,508
91b62f69,L1  cache parity error has occurred in TAG bit   ,58671
2058d945,Correctable receiver errors: Node  had  correctable errors in the  direction,154
2ff95668,Correctable sender retransmissions: Node  had  retransmissions in the  direction,105
8adb1f08,Torus Bad Packet Capture Unit Found a multiple bit error in a packet; potential for CRC escape,2137
a5c39180,Torus Bad Packet Capture Unit Error: error in capture unit,13
a9e80ce3,Torus Bad Packet Capture Unit Found a single bit error in a packet,22
5a9603ab,Software detected a severe burst of similar RAS events and is halting. There were  similar events detected for message  ,123
0e24a76a,Environment Monitor threshold warning (Power Calculation Error). Status=0x00000800 PTMON    1.2v Domain   1.8v Domain    watts ,126
228c7f91,Node  exited for reason 1 and code  and there was error 32 sending a message to the control system.,523
0d9577ec,There were  proxy processes that did not cleanly at the end of job ....,191
178112f1,Collective network receiver link  has spent  cycles resynchronizing with the ,8
bdba434e,L1 instruction cache parity error has occurred in the instruction word    TagLow=0x00000101   ,2
30e268a3,DDR controller  symbol error count. Controller  chipselect 0 ,51038
c9d26942,DDR controller chipkill error count. Controller  chipselect 0 ,6688
a6baa7ec,DDR correctable chipkill error(s): DDR Controller  failing SDRAM address  chipkill location  either X8 compute DRAM chip  or ,2174
1116bae8,DDR correctable single symbol error(s): DDR Controller  failing SDRAM address  BPC pin  transfer  bit  BPC module pin  compute trace  DRAM chip  DRAM pin ,72913
f25b5000,E10000 network link has been lost.,646
8caad884,DDR correctable double symbol error(s): DDR Controller  failing SDRAM address  (1) BPC pin  transfer  bit  BPC module pin  compute trace  DRAM chip  DRAM pin  BPC pin  transfer  bit  BPC module pin  compute trace  DRAM chip  DRAM pin ,11018
d31fb0b9,A DMA unit reception FIFO is full. Automatic recovery occurs for this event; but performance might be improved by increasing the FIFO size (via environment variable DCMF_RECFIFO=size-in-bytes) or by checking the DMA FIFOs more often. Additional details: 1) torus location is  2) Packet PID is  3) rFIFO bit mask is  4) Current fifo size is 8388608 bytes.,8388
734ddd07,DDR correctable double symbol error(s): DDR Controller  failing SDRAM address  (1) BPC pin  transfer  bit  BPC module pin  compute trace  DRAM chip  DRAM pin  symbol  mask ,477
f0ac52bb,Spurious Ethernet device interrupt error.,163
261e1e17,An oops has occurred.,334
5663094d,A message of type 1 was expected when a message of type 8 was received on the control stream.,8
db54590c,Insufficient memory to start application. Shared  Persistent size=0 Text  Text  Data  Data  Static TLB slots used for each process in this    ,1146
bb832d52,Error 0  a message  the debugger pipe.,7
5dc582d1,A DDR controller raised a machine check. DDR Controller 1; raised machine checks: MM Strobe Gate Machine Check; no address captured.,1
c818a991,Spurious EMAC interrupt.,1
6cb2d436,DDR redundant bit steering activated. Bit  chipselect  controller ,2488
1c93e31e,A kernel panic has occurred.,1
d9a8d1d1,DDR correctable double symbol error(s): DDR Controller  failing SDRAM address  (1) symbol  mask  (2) BPC pin  transfer  bit  BPC module pin  compute trace  DRAM chip  DRAM pin ,1198
33f0d7d2,L3  correctable error.     Group=7 ,8287
225616d2,Torus Bad Packet Capture unit : a single bit error has been detected in a packet. Error data: ,78
57522729,Torus Bad Packet Capture unit error: packet size mismatch (probable CRC escape),102
cc5a178a,Torus Bad Packet Capture unit: a multiple bit error has been detected in a packet. Error data: ,988
deb49818,L1 data cache parity error,131
9b3b92b4,DDR controller machine check. DDR Controller  raised machine checks: MM Strobe Gate Machine  no address captured.,32
4d71117f,L1 instruction cache parity error,90
4332fadc,L1 instruction cache parity error analysis: Tag bit   ,589013
0c57ff36,L1 data cache parity error analysis: Data in byte  of the   ,26
f9d87912,L1 instruction cache parity error analysis: instruction word    TagLow=0x00000101   ,4
3c090ad2,MMCS detected      power module at location   type is ,17493
d1d20d3a,A DMA unit reception FIFO is full. Automatic recovery occurs for this event but performance might be improved by increasing the FIFO size (via environment variable DCMF_RECFIFO=size-in-bytes) or by checking the DMA FIFOs more often. Additional details: 1) torus location is    2) Packet PID is  3) rFIFO bit mask is  4) Current fifo size is  bytes.,193979
9828c0e3,MMCS detected an error in a power module at location  Error type is ,2542
4eb961de,MMCS detected a warning condition in a bulk power module at location  Warning type is ,16672
e9ddc55d,A script error has occurred :  failure in ...  ,3129
d404075c,Collective network local FIFOs could not be cleared. Reception  headers=0x00000000 Injection payload=0x00000000 headers=0x00000000,59
82a7c1cd,DDR Controller  failing SDRAM address  BPC pin  transfer  bit  BPC module pin  compute trace  DRAM chip  DRAM pin ,38826
6798b787,Correctable errors (double symbol error) in DRAM occurred. DDR Controller  failing SDRAM address  (1) BPC pin  transfer  bit  BPC module pin  compute trace  DRAM chip  DRAM pin  BPC pin  transfer  bit  BPC module pin  compute trace  DRAM chip  DRAM pin ,4046
bc7eeba7,DDR Controller  failing SDRAM address  chipkill location  either X8 compute DRAM chip  or ,1527
83ca61ac,Correctable errors (double symbol error) in DRAM occurred. DDR Controller  failing SDRAM address  (1) symbol  mask 0x0 (2) BPC pin  transfer  bit  BPC module pin  compute trace  DRAM chip  DRAM pin ,348
90f7bf6b,Global Barrier Timeout    ,3143
70c8f2cb,L3 cache unit detected a correctable error. L31: correctable error detected in EDRAM bank  .,6
0fa8b289,Correctable errors (double symbol error) in DRAM occurred. DDR Controller  failing SDRAM address  (1) BPC pin  transfer  bit  BPC module pin  compute trace  DRAM chip  DRAM pin  symbol  mask ,114
a6769841,Service Action  started to service  by ,130
8dcb1549,Service Action  turned off  ,120
3762c58b,Successfully powered off this  card.,233
074e32f5,Successfully powered off this card.,259
3ec52da6,Successfully initialized this card.,249
d52571cd,Service Action  completed on  by ,123
2248a50a,Service Action  restarted  ,109
4a1cf6bd,L2 snoop  parity.  group=0x00000004 ,3
9ee35e29,Kill job ... timed out. Block freed.,841
e50a126c,Correctable receiver errors: Node    had  correctable errors in the  direction,127805
84162e9a,Correctable sender retransmissions: Node    had  retransmissions in the  direction,108380
6f8009aa,Error occurred : Caused by Data Write PLB interrupt.,1
5df0a4da,CIO service in process  received signal 11 with code 0x00000001 errno 0x00000000 address  instruction pointer  link register ,556
4dd167e7,mcserver terminated      Recovery Action: BGPMaster will restart server in 20 seconds.,20
014002fb,mmcs_server terminated      Recovery Action: BGPMaster will restart server in 20 seconds.,21
20cf8d28,mcserver has been  ... --baselogdir ... --binpath ... --configpath ... --db2profile ... --dbproperties ...,47
e766926a,mmcs_server has been  ... --baselogdir ... --binpath ... --configpath ... --db2profile ... --dbproperties ... --no-reconnect,12
a1a61d8f,MMCS has been started: ... --useDatabase BGP --dbproperties ... --iolog ... --reconnect-blocks all --boot-timeout-and-free 30 --boot-timeout-node-multiplier 240 --no-reconnect,36
e77728f9,Machine is ready for use.,25
47055a64,The TNK diagnostic test has miscompared. Alloc_seed=0x1914CF24  ,3
0ea440d7,Node System Halted has halted.,12775
18224ba9,Error  writing message 2 to the data stream at location 1902.,533
468af046,There were  proxy processes that did not end cleanly at the end of job ....,120
6e6cfa1b,An oops has occurred : machine check sig 7     TRAP=0202  ,624354
1c0f8554,A script error has occurred : mount of 172.17.5.1:... failed.,339
c80be24a,An oops has occurred : kernel access of bad area sig 11     TRAP=0300  ,57
bc3ed5c2,realtime_server terminated stopped by administrator. Recovery Action: administrator must restart server.,6
ad45ab19,realtime_server has been started: ... --baselogdir ... --binpath ... --configpath ... --db2profile ... --dbproperties ...,33
629730bd,Node  only wrote -1 bytes of a total  bytes to a core file error 4.,108
f23666d6,The microloader is not reading its mailbox.,11
02df8aca,Cannot boot block:  ,174
f99700ac,Successfully powered off this Bulk Power Module card. : ,17
fabde141,Service Action    is functional.,19
3ad4078e,Successfully initialized this service card.,25
591733da,TLB Entry  overlaps with entry  Details:  vs. ,15
f3854d27,Error 28 creating message queue with key 24011 at location 406.,2
96d398f2,L2 snoop cache parity.   group=0x00000004 ,5
4eb84667,Internal diode temp for U05 is low: ,2
ace8866c,An oops has occurred : Exception in kernel mode sig 5     TRAP=0700  DSISR=0200000,3253
5dac549c,E10000 network link error.,34
6a0315ab,TLB parity error (uncategorized),26
95cde6e0,TLB Entry 0x00000000 ,26
21520084,TLB Entry 0x00000001 0xFFFF0226-0xFFFF0107-0xC00F0503-0x00000000,26
8e9b1c23,TLB Entry 0x00000002 0xFFFF422E-0xFFFF4307-0x000F051B-0x00000000,26
cee15279,TLB Entry 0x00000003 ,26
ae42cf6b,TLB Entry 0x00000004 0xFFFDC20D-0x10000106-0x000F051B-0x00000000,26
3c602cfe,TLB Entry 0x00000005 0xFFFDD205-0x11000306-0x000F051B-0x00000000,26
8f049796,TLB Entry 0x00000006 0xFFFD0222-0x00000306-0x000F051B-0x00000000,26
fdeaca80,TLB Entry 0x00000007 ,26
a68f5516,TLB Entry 0x00000008 ,26
f15a2f55,TLB Entry 0x00000009 ,26
f45b8f38,TLB Entry 0x0000000A ,26
cd64d66b,TLB Entry 0x0000000B ,26
693e1a12,TLB Entry 0x0000000C ,26
449a3c05,TLB Entry 0x0000000D ,26
390dea20,TLB Entry 0x0000000E ,26
98e384b0,TLB Entry 0x0000000F ,26
64e3cad8,TLB Entry 0x00000010 ,26
6022ac40,TLB Entry 0x00000011 ,26
0b4d5171,TLB Entry 0x00000012 ,26
38be10dc,TLB Entry 0x00000013 ,26
2724b4f8,TLB Entry 0x00000014 ,26
91750a27,TLB Entry 0x00000015 ,26
8b39f6f2,TLB Entry 0x00000016 ,26
a5e4d71c,TLB Entry 0x00000017 ,26
4fb9bd22,TLB Entry 0x00000018 ,26
69b8ebdd,TLB Entry 0x00000019 ,26
fc78393e,TLB Entry 0x0000001A ,26
9973cc92,TLB Entry 0x0000001B ,26
07f7c792,TLB Entry 0x0000001C ,26
3a6482f8,TLB Entry 0x0000001D ,26
406ee09d,TLB Entry 0x0000001E ,26
f4282f3c,TLB Entry 0x0000001F ,26
79712bdc,TLB Entry 0x00000020 ,26
c4b6e5fc,TLB Entry 0x00000021 ,26
b42038ef,TLB Entry 0x00000022 ,26
ff41d3c5,TLB Entry 0x00000023 ,26
66ca0537,TLB Entry 0x00000024 ,26
cffa8234,TLB Entry 0x00000025 ,26
730505af,TLB Entry 0x00000026 ,26
16f3fda9,TLB Entry 0x00000027 ,26
4461d99c,TLB Entry 0x00000028 ,26
599ad369,TLB Entry 0x00000029 ,26
11e93b0b,TLB Entry 0x0000002A ,26
9a45f53b,TLB Entry 0x0000002B ,26
d036114a,TLB Entry 0x0000002C ,26
3eee1382,TLB Entry 0x0000002D ,26
bd4166ab,TLB Entry 0x0000002E ,26
596c3b4a,TLB Entry 0x0000002F ,26
60ad9497,TLB Entry 0x00000030 ,26
51362528,TLB Entry 0x00000031 ,26
44cd0a63,TLB Entry 0x00000032 ,26
1183be4e,TLB Entry 0x00000033 ,26
93897b60,TLB Entry 0x00000034 ,26
816a6103,TLB Entry 0x00000035 ,26
98199c78,TLB Entry 0x00000036 ,26
ef8528ab,TLB Entry 0x00000037 ,26
dd9a6170,TLB Entry 0x00000038 ,26
0fbf5eac,TLB Entry 0x00000039 0xE000029C-0x60000300-0xC0102207-0x00000000,26
3a8fdfe1,TLB Entry 0x0000003A 0xD0000290-0x50000000-0xC0102207-0x00000000,26
b678d3d4,TLB Entry 0x0000003B 0xC0000298-0x40000200-0xC0102207-0x00000000,26
c18657b9,TLB Entry 0x0000003C 0xB000029C-0x30000300-0xC0102207-0x00000000,26
f89b90e9,TLB Entry 0x0000003D 0xA0000294-0x20000100-0xC0102207-0x00000000,26
0a8938c1,TLB Entry 0x0000003E 0x90000298-0x10000200-0xC0102207-0x00000000,26
13cf1a6a,TLB Entry 0x0000003F 0x80000290-0x00000000-0xC0102207-0x00000000,26
38e797e9,An attempt was made to use DMA injection counter 64 at torus location (2 0 0) but this counter is not enabled.,3
3396764a,TLB parity error analysis: Entry     ,19
